NUS|1.29551|103.77693
National University of Singapore|1.29551|103.77693
Choa Chu Kang|1.385|103.74444
Fajar|1.38444|103.77083
Segar|1.38778|103.76944
Jelapang|1.38667|103.76444
Senja|1.38278|103.76222
Ten Mile Junction|1.38028|103.76
South View|1.38028|103.74528
Keat Hong|1.37861|103.74889
Teck Whye|1.37667|103.75361
Phoenix|1.37861|103.75806
Bukit Panjang|1.37833|103.76167
Petir|1.37778|103.76667
Pending|1.37611|103.77111
Bangkit|1.38|103.7725
Dhoby Ghaut|1.2986|103.84565
MacPherson|1.32667|103.89
Tai Seng|1.33583|103.88806
Bartley|1.34278|103.87972
Serangoon|1.34917|103.87348
Lorong Chuan|1.35167|103.86417
Bishan|1.35111|103.84833
Marymount|1.34917|103.83944
Caldecott|1.33778|103.83944
Bukit Brown|1.33361|103.83
Botanic Gardens|1.3225|103.81528
Bras Basah|1.29694|103.85056
Farrer Road|1.31722|103.8075
Holland Village|1.31194|103.79611
Buona Vista|1.30733|103.79003
one-north|1.29944|103.78694
Kent Ridge|1.29333|103.78444
Haw Par Villa|1.2825|103.78194
Pasir Panjang|1.27611|103.79139
Labrador Park|1.27222|103.80278
Telok Blangah|1.27056|103.80972
HarbourFront|1.26528|103.82222
Esplanade|1.29333|103.85528
Keppel|1.27|103.83028
Cantonment|1.27278|103.83667
Prince Edward Road|1.27333|103.84722
Marina Bay|1.2761|103.85468
Bayfront|1.28222|103.85944
Promenade|1.29306|103.86111
Nicoll Highway|1.29972|103.86361
Stadium|1.30278|103.87528
Mountbatten|1.30639|103.8825
Dakota|1.30833|103.88833
Paya Lebar|1.31778|103.8925
Tanah Merah|1.32736|103.94634
Expo|1.33547|103.96177
Changi Airport|1.35737|103.98884
Pasir Ris|1.37241|103.94937
Elias|1.38389|103.93806
Riviera|1.39443|103.91611
Punggol|1.40528|103.9025
Tavistock|1.37|103.86333
Ang Mo Kio|1.37002|103.84945
Teck Ghee|1.36556|103.84361
Bright Hill|1.36318|103.83302
Aviation Park|1.37|104.00306
Loyang|1.37194|103.97194
Pasir Ris East|1.36611|103.96111
Tampines North|1.36917|103.93778
Defu|1.36222|103.89889
Hougang|1.37139|103.89222
Serangoon North|1.37056|103.87361
Sungei Kadut|1.4132|103.74871
Stevens|1.32|103.82611
Newton|1.31306|103.83833
Little India|1.30667|103.84917
Rochor|1.30376|103.85258
Bugis|1.30028|103.85611
Downtown|1.27944|103.85306
Telok Ayer|1.28222|103.84833
Chinatown|1.28472|103.84389
Cashew|1.36889|103.76472
Fort Canning|1.29248|103.84432
Bencoolen|1.29849|103.85014
Jalan Besar|1.30556|103.85528
Bendemeer|1.31417|103.86139
Geylang Bahru|1.32139|103.87139
Mattar|1.32722|103.88278
Ubi|1.33|103.9
Kaki Bukit|1.335|103.90889
Bedok North|1.33503|103.91791
Hillview|1.3625|103.7675
Bedok Reservoir|1.33667|103.93083
Tampines West|1.34556|103.93833
Tampines|1.35321|103.94517
Tampines East|1.35639|103.95472
Upper Changi|1.34194|103.96139
Xilin|1.32889|103.965
Sungei Bedok|1.32028|103.95722
Hume|1.35472|103.76917
Beauty World|1.34111|103.77583
King Albert Park|1.33556|103.78389
Sixth Avenue|1.33083|103.7975
Tan Kah Kee|1.32611|103.80722
Kallang|1.31147|103.8714
Lavender|1.30717|103.86301
City Hall|1.29333|103.8526
Raffles Place|1.28388|103.85153
Tanjong Pagar|1.27644|103.84571
Outram Park|1.28028|103.83944
Tiong Bahru|1.28608|103.82696
Redhill|1.28973|103.81675
Queenstown|1.29444|103.80611
Commonwealth|1.30256|103.79823
Dover|1.31131|103.77866
Clementi|1.3153|103.76524
Jurong East|1.33333|103.74222
Chinese Garden|1.34271|103.73247
Lakeside|1.34459|103.72114
Boon Lay|1.33888|103.70621
Pioneer|1.33758|103.69722
Joo Koon|1.32774|103.67849
Simei|1.34318|103.95338
Gul Circle|1.3196|103.66072
Tuas Crescent|1.32114|103.649
Tuas West Road|1.33006|103.63961
Tuas Link|1.34028|103.63681
Bedok|1.32404|103.93004
Kembangan|1.32098|103.91284
Eunos|1.31973|103.90311
Aljunied|1.31644|103.88298
Tengah Plantation|1.35722|103.73333
Tengah Park|1.35222|103.73667
Bukit Batok West|1.34556|103.73972
Toh Guan|1.33972|103.7425
Jurong Town Hall|1.32611|103.74611
Pandan Reservoir|1.32|103.745
Tukang|1.32528|103.70917
Jurong Hill|1.31861|103.71028
Jurong Pier|1.31306|103.71028
